"","name","n","p","m","N","kappa","sigma","ratio","averaged","centralized"
"80",ols,40,8,10,400,0.2,10,1.73451559375836,0.945465097621783,0.545088842685551
"81",ols,40,8,10,400,0.2,10,1.01019907078971,2.89717209301568,2.86792195398758
"82",ols,40,8,10,400,0.2,10,1.57338257386877,3.3412173123584,2.12358860956667
"83",ols,40,8,10,400,0.2,10,1.89810257263764,0.664836084479196,0.350263517927446
"84",ols,40,8,10,400,0.2,10,1.22687507493951,1.01948659126036,0.830962020571344
"85",ols,40,8,10,400,0.2,10,0.938721061767092,4.43287496407767,4.72224939294855
"86",ols,40,8,10,400,0.2,10,1.69551307262862,2.39869301645596,1.41472988629759
"87",ols,40,8,10,400,0.2,10,1.85041302883441,2.05002933966691,1.10787662414928
"88",ols,40,8,10,400,0.2,10,1.3825290617323,2.98444088455438,2.15868220579385
"89",ols,40,8,10,400,0.2,10,0.870245777755653,0.98564198981877,1.13260186376396
"90",ols,40,8,10,400,0.2,10,1.62434231487056,1.26553237141834,0.779104478060209
"91",ols,40,8,10,400,0.2,10,0.843220735211902,1.54502916434402,1.83229503239831
"92",ols,40,8,10,400,0.2,10,1.38888391562319,1.91291067499799,1.37730061776953
"93",ols,40,8,10,400,0.2,10,0.762667955387698,1.58148028495538,2.07361575084329
"94",ols,40,8,10,400,0.2,10,0.884984793191525,5.33460532979279,6.02790620904861
"95",ols,40,8,10,400,0.2,10,1.57474310706,3.26902007220951,2.07590689399026
"96",ols,40,8,10,400,0.2,10,2.98568844845866,3.04405398611896,1.01954843536687
"97",ols,40,8,10,400,0.2,10,0.934588095399441,3.09097092279135,3.3073082548417
"98",ols,40,8,10,400,0.2,10,0.863851364610714,1.23123648141714,1.42528741848082
"99",ols,40,8,10,400,0.2,10,2.25457129642265,2.04923805405296,0.908925815433075
"100",ols,40,8,10,400,0.2,10,1.00876889596593,2.28829500303926,2.26840360779379
"101",ols,40,8,20,800,0.2,10,0.764283189782529,0.448893292695073,0.587338958511965
"102",ols,40,8,20,800,0.2,10,0.701061892427194,1.08355507948211,1.54559118272805
"103",ols,40,8,20,800,0.2,10,1.22442089819659,1.87506330740791,1.53138786684353
"104",ols,40,8,20,800,0.2,10,1.25492805085036,1.21310839662052,0.966675655866081
"105",ols,40,8,20,800,0.2,10,1.08293331025889,1.28699444499472,1.18843370390652
"106",ols,40,8,20,800,0.2,10,1.35322493641659,0.710801325588326,0.525264726107222
"107",ols,40,8,20,800,0.2,10,1.04034372578692,1.96494375682622,1.88874475629671
"108",ols,40,8,20,800,0.2,10,0.580439806278628,0.25338378746391,0.436537578441473
"109",ols,40,8,20,800,0.2,10,0.990760404521439,0.880736881508704,0.888950423825345
"110",ols,40,8,20,800,0.2,10,0.845046777957523,0.766702701869123,0.907290249330627
"111",ols,40,8,20,800,0.2,10,2.19780801573103,1.10855876589946,0.504392903276735
"112",ols,40,8,20,800,0.2,10,1.75353739088037,1.34613302083469,0.767667132640298
"113",ols,40,8,20,800,0.2,10,0.857473903612548,0.96846961918918,1.12944500714133
"114",ols,40,8,20,800,0.2,10,2.79484326908124,0.959638219724561,0.343360298711858
"115",ols,40,8,20,800,0.2,10,1.23113013690222,1.928715331651,1.56662181668629
"116",ols,40,8,20,800,0.2,10,1.1876987372592,1.28312805438267,1.08034808333946
"117",ols,40,8,20,800,0.2,10,1.89255111692147,1.54825506332052,0.81807833324946
"118",ols,40,8,20,800,0.2,10,1.44053669164196,1.47087340538552,1.02105931346252
"119",ols,40,8,20,800,0.2,10,1.98137419778631,0.76206123156034,0.384612473712313
"120",ols,40,8,20,800,0.2,10,1.25113511037507,1.28967441460636,1.03080347111331
"121",ols,40,8,20,800,0.2,10,0.719404012406469,0.505975200151536,0.703325518659543
"122",ols,40,8,20,800,0.2,10,2.0986391637138,4.35466410170922,2.07499420434102
